haplotype,p0,p1,p5,p50,p95,p99,p100
HLA-DRA01:01-DRB107:01,1125.33,1141.5318,1206.339,2723.8500000000004,6128.5689999999995,6190.8418,6206.41
HLA-DRA01:01-DRB108:01,213.11,298.71440000000007,641.132,6374.875,11304.760499999999,11897.288100000002,12045.42
HLA-DRA01:01-DRB109:01,424.43,430.5185,454.8725,919.2649999999999,5182.874499999997,6036.5749000000005,6250
HLA-DRA01:01-DRB111:01,187.93,193.8034,217.297,4704.1,12365.455499999998,12952.6191,13099.41
HLA-DRA01:01-DRB113:01,334.94,355.1567,436.0235,3814.5350000000003,10198.904499999997,10850.1409,11012.95
HLA-DRA01:01-DRB114:54,610.65,618.9597,652.1985,2994.6499999999996,8188.444499999999,8954.3769,9145.86
HLA-DRA01:01-DRB115:01,1444.94,1445.1317,1445.8985,9392.61,26853.6265,27692.293299999998,27901.96
HLA-DRA01:01-DRB301:01,463.42,674.3566000000002,1518.1029999999998,5069.245,10512.293499999996,11371.170699999999,11585.89
HLA-DRA01:01-DRB302:02,1107.71,1217.9879,1659.0995,4117.83,6932.493999999999,7584.2668,7747.21
HLA-DRA01:01-DRB303:01,265.03,269.6785,288.27250000000004,1050.375,6110.651999999999,6402.9864,6476.07
HLA-DRA01:01-DRB401:03,346.82,378.212,503.78,2539.45,8407.916999999998,8953.223399999999,9089.55
HLA-DRA01:01-DRB501:01,88.08,93.7824,116.592,2041.7599999999998,12989.715499999998,13567.4471,13711.88
HLA-DRB101:01,1243.47,1567.6995000000002,2864.6175,15132.17,25007.195499999998,25213.4071,25264.96
HLA-DRB101:02,832.54,906.4111,1201.8954999999999,16884.065000000002,22217.934,22513.234800000002,22587.06
HLA-DRB101:03,1424.58,1931.5707000000002,3959.5334999999995,16960.510000000002,30370.79499999999,32238.583,32705.53
HLA-DRB103:01,452.95,677.7439000000002,1576.9194999999997,15963.255000000001,27158.826999999997,28327.581400000003,28619.77
HLA-DRB103:02,5965.27,6571.126600000001,8994.553,30731.29,35949.7645,36752.848900000005,36953.62
